,loan_amount,loan_days,education_id,has_immovables,has_movables,monthly_income,income_frequency_id,monthly_expenses,product_id,product_dpr,product_interest_min,applied_limit,amount_to_pay
206,1500,6,5,0,0,25000,1,10000,35,1.53,50,8000,0.0
207,700,5,4,1,0,35000,1,9000,2,1.8,50,700,800.4
208,1000,30,3,0,0,8000,2,2000,10,1.9,50,1000,1247.0
209,3900,30,5,0,0,10000,2,5000,2,1.8,50,3900,0.0
210,2400,10,5,1,0,10000,2,3000,32,1.8,50,8000,-6.0
211,2500,30,4,1,0,12000,2,5000,10,1.9,50,3500,3877.5
212,2000,21,5,1,1,10000,2,2000,31,1.8,50,5500,0.0
213,3000,14,2,0,0,10000,2,2000,31,1.8,50,5500,0.0
214,1700,11,5,0,0,15000,1,12000,63,0.0,270,1700,0.0
215,600,30,4,0,0,6000,2,4000,2,1.8,50,600,0.0
216,3000,3,5,0,0,6000,2,2000,35,1.53,50,3000,0.0
217,2750,30,3,0,0,7000,999,3000,12,1.33,50,3500,0.0
218,1000,21,4,0,1,11000,2,7000,30,1.8,50,1000,0.0
219,1500,30,1,0,0,7500,2,6509,31,1.8,50,1500,2333.0
220,3550,30,4,0,0,8000,2,2500,35,1.53,50,6000,0.0
221,1500,30,3,0,0,8600,2,2000,10,1.9,50,1500,2376.5
222,3500,30,5,0,1,9000,999,3500,31,1.8,50,3500,5390.0
223,2250,7,5,0,0,12800,1,12800,32,1.8,50,6000,0.0
224,4000,17,6,0,0,20000,2,7000,31,1.8,50,4000,0.0
225,3000,30,5,0,0,10400,1,5000,31,1.8,50,3000,0.0
226,600,16,3,1,0,9800,2,2000,36,1.43,50,600,0.0
227,1800,30,4,0,0,6000,2,2000,35,1.53,50,5500,0.0
228,1000,30,4,0,0,10000,2,3000,30,1.8,50,1000,0.0
229,3000,25,2,0,0,9500,1,3800,31,1.8,50,3000,0.0
230,3500,30,3,0,1,11000,1,6500,10,1.9,50,3500,0.0
231,1000,16,2,0,0,7900,2,3700,35,1.53,50,6000,0.0
232,5700,30,6,0,0,9000,1,2500,2,1.8,50,8000,0.0
233,3200,20,3,0,0,3000,2,1800,35,1.53,50,6000,0.0
234,3050,30,4,0,0,5000,2,1200,32,1.8,50,8000,0.0
235,8000,28,5,0,0,12000,1,6000,2,1.8,50,8000,0.0
236,2400,30,4,0,0,14000,2,4000,2,1.8,50,2400,0.0
237,1500,11,3,0,0,6000,1,3000,31,1.8,50,1500,1820.0
238,500,3,3,1,0,10000,2,1500,25,1.8,50,5000,0.0
239,800,30,5,0,0,3000,2,1500,2,1.8,50,6000,0.0
240,600,30,4,0,0,8000,2,2500,10,1.9,50,2500,0.0
241,1400,12,5,0,0,5000,2,100,62,0.0,250,1400,1650.0
242,3000,20,5,0,0,50000,1,2000,36,1.43,50,3500,3865.1
243,8000,30,5,1,0,7000,1,7000,32,1.8,50,8000,12320.0
244,1500,7,5,0,0,13000,2,6000,31,1.8,50,1500,0.0
245,500,17,3,0,0,10000,1,8000,10,1.9,50,2500,702.0
246,500,30,3,0,0,8000,2,2000,12,1.33,50,700,0.0
247,1950,30,5,0,0,13000,1,7000,35,1.53,50,8000,0.0
248,2500,30,5,0,0,16000,2,8000,31,1.8,50,2500,3855.0
249,7500,25,2,0,0,8500,999,3500,32,1.8,50,8000,0.0
250,800,30,4,0,0,9000,2,2500,32,1.8,50,1800,0.0
251,1000,30,2,0,0,10000,1,4000,10,1.9,50,1000,1601.0
252,3000,21,3,0,1,13000,999,5000,31,1.8,50,3000,0.0
253,2500,30,3,0,0,10000,2,7000,31,1.8,50,2500,0.0
254,3500,30,3,0,0,6000,2,500,10,1.9,50,3500,0.0
255,900,8,4,0,0,8000,2,4000,61,0.0,120,900,1020.0
256,500,15,3,0,0,7700,2,5500,10,1.9,50,1000,0.0
257,1000,26,3,1,0,8000,2,2000,10,1.9,50,1000,0.0
258,4000,30,6,0,0,32000,1,15000,31,1.8,50,4000,0.0
259,1000,12,2,0,0,9100,2,5600,10,1.9,50,1000,0.0
260,1000,30,5,1,0,12000,1,5000,36,1.43,50,1000,0.0
