,loan_amount,loan_days,education_id,has_immovables,has_movables,monthly_income,income_frequency_id,monthly_expenses,product_dpr,product_interest_min,Score,Zscore,Give_credit
477,4000,30,5,0,0,12000,2,3000,1.9,50,119.43416152676271,-0.07110616746277781,1.0
478,3000,30,5,0,0,15000,2,1000,1.53,50,114.39671747155317,-0.07164271791048189,1.0
479,1000,24,3,0,0,10000,1,6000,1.9,50,21.50460994146986,-0.08153688275622296,0.0
480,1000,19,3,0,0,7500,2,2300,1.9,50,19.29996713896221,-0.08177170463607883,0.0
481,1500,30,4,0,0,6000,2,3500,1.8,50,116.59099637926398,-0.07140899991432823,1.0
482,2500,14,5,0,0,7500,1,2500,1.9,50,18.811889187331865,-0.08182369100865024,0.0
483,3000,30,5,0,0,8000,2,3000,1.62,50,115.01134444878262,-0.07157725249266501,1.0
484,1500,30,3,0,0,8000,2,3000,1.8,50,116.58168106089337,-0.07140999211159879,1.0
485,4000,8,3,0,1,5000,2,3000,1.8,50,16.857473804634925,-0.0820318605559629,0.0
486,1500,30,2,0,0,7000,2,1000,1.8,50,116.54599864690324,-0.07141379273250728,1.0
487,500,20,3,0,0,12000,1,12000,1.8,50,17.609742302817185,-0.0819517346041767,0.0
488,1500,30,3,0,0,15000,2,3000,1.8,50,116.58168106089337,-0.07140999211159879,1.0
489,3000,7,6,1,0,10000,2,8000,1.53,50,14.008336478691525,-0.08233532911879972,0.0
490,4500,30,2,0,0,12000,2,1500,1.8,50,117.60957558407878,-0.07130050855990806,1.0
491,1000,30,3,0,0,10000,1,3000,1.9,50,118.57705540273945,-0.07119745992568845,1.0
492,1000,8,4,1,0,6500,2,4500,1.9,50,18.112102361683093,-0.08189822700954358,0.0
493,2000,20,5,0,1,11800,2,3600,1.8,50,17.690235048676183,-0.08194316112557241,0.0
494,1000,15,5,0,0,12000,2,6000,1.9,50,18.68359970772488,-0.08183735543389535,0.0
495,500,3,2,0,0,15000,999,5000,1.9,50,18.128558329331824,-0.08189647424430936,0.0
496,2500,30,3,0,0,8000,2,2500,1.43,50,113.79327801569312,-0.07170699171812234,1.0
497,1050,14,4,0,0,15000,1,3500,1.8,50,16.44361319560903,-0.08207594185843022,0.0
498,1300,4,3,0,0,12000,2,10000,1.8,50,16.185519968911603,-0.08210343199724192,0.0
